feature,importance
low_risk_consequence,0.3869239320412936
is_intron,0.08950286106320231
high_risk_consequence,0.08625738122562422
is_synonymous,0.06463171017466246
glycine_substitution,0.06058020224079269
size_change,0.0536104608780604
flexibility_change,0.04993670400995032
normalized_position,0.03933723606308726
has_aa_change,0.028345701841824764
is_frameshift,0.02668595303639552
is_splice,0.020654213935039623
is_snv,0.019634074308857986
is_deletion,0.015796675085192943
is_missense,0.014144003884530583
hydrophobic_change,0.01355854964321334
polar_change,0.007790507345398941
is_nonsense,0.006231508010091094
charge_change,0.0035237080487039002
is_COL1A2,0.003059625102665578
is_COL1A1,0.002788868086991042
is_inframe_indel,0.002430193004839219
is_utr,0.0015130044142644939
aromatic_change,0.0014532277761336006
is_duplication,0.0010436298882518554
is_insertion,0.0005660688909322791
